General Standards,Remarks,Test Case ID,Title,Project Initiative,Priority,Automatability,Automation Status,Testing Type,Status,Testing Phase,Pre Conditions,Test Steps,Expected Result
Passed,,C1097771,[Jarvis] 001Verify that the new 9 ID Types appears in the dropdown list when a KYC agent creates a profile on CRP Management,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L1 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Create CRP
5. Click Select ID Type dropdown
6. Verify the 9 ID types","new 9 ID Types should appear in the dropdown list when a KYC agent creates a profile on CRP Management:
Emirates ID
Iqama
State of Kuwait Civil ID
State of Qatar Residency Permit
USA Passport
Canada Permanent Resident Card
UK Passport
Carta d'Identita Elettronica (Electronic Identity Card)
Permesso di soggiorno (Residence Permit Card)"
Passed,,C1097772,[Jarvis] 002Verify that the new 9 ID Types appears in the dropdown list when a KYC agent Modifies a profile on CRP Management,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L3 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click the searched application
5. Click Modify button
6. Click Select ID Type dropdown
7. Verify the 9 ID types","new 9 ID Types should appear in the dropdown list when a KYC agent modifies a profile on CRP Management:
Emirates ID
Iqama
State of Kuwait Civil ID
State of Qatar Residency Permit
USA Passport
Canada Permanent Resident Card
UK Passport
Carta d'Identita Elettronica (Electronic Identity Card)
Permesso di soggiorno (Residence Permit Card)"
Passed,,C1097773,[Jarvis] 003Verify that all ID Types are spelled correctly and follows the correct capitalization when a KYC agent creates a profile on CRP Management,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L1 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Create CRP
5. Click Select ID Type dropdown
6. Verify all ID Types",All ID Types are spelled correctly and follows the correct capitalization when a KYC agent creates a profile on CRP Management
Passed,,C1097774,[Jarvis] 004Verify that all ID Types are spelled correctly and follows the correct capitalization when a KYC agent Modifies a profile on CRP Management,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L3 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click the searched application
5. Click Modify button
6. Click Select ID Type dropdown
7. Verify All ID Types",All ID Types are spelled correctly and follows the correct capitalization when a KYC agent Modifies a profile on CRP Management
Passed,,C1097775,[Jarvis] 005Verify that the dropdown does not display duplicate ID Types upon CRP Creation,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L1 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Create CRP
5. Click Select ID Type dropdown
6. Verify dropdown does not display duplicate ID Types",Dropdown does not display duplicate ID Types upon CRP Creation
Passed,,C1097776,[Jarvis] 006Verify that the dropdown does not display duplicate ID Types upon CRP Modification,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L3 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Create CRP
5. Click Select ID Type dropdown
6. Verify dropdown does not display duplicate ID Types",Dropdown does not display duplicate ID Types upon CRP Modification
Passed,,C1097777,[Jarvis] 007Verify that the system successfully saves the selected ID Type upon L1-L3 CRP Creation,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L1 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Create CRP
5. Submit Application
6. Verify the system successfully submitted the application",The system successfully saves the selected ID Type upon L1-L3 CRP Creation
Passed,,C1097778,[Jarvis] 008Verify that the system successfully displays the selected ID type in Queue-Portal page when the application was already submitted for approval.,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L1 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Create CRP
5. Submit Application
6. Go to Queue Portal
7. Search Application
8. Verify the selected ID Type",The system successfully displays the selected ID type in Queue-Portal page
Passed,,C1097779,"[Jarvis] 009Verify that reopening the newly created application shows the correct selected ID Type in CRP Management, QA View, Trackings, and Account Maintenance.",2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L1 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Create CRP
5. Submit Application
6. Go to Queue Portal
7. Search Application
8. Approve application
9. Verify ID Types on Jarvis Queues","Reopening the newly created application shows the correct selected ID Type in CRP Management, QA View, Trackings, and Account Maintenance."
Passed,,C1097780,[Jarvis] 010Verify that the agent can modify an existing application and change the ID Type to any of the new ID Types.,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L3 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click the searched application
5. Click Modify button
6. Click Select ID Type dropdown
7. Select New ID Type",The agent can modify an existing application and change the ID Type to any of the new ID Types.
